Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",118.000000,-106.500000,270.000000,top
"C2","22uF","CP_EIA-7343-20_Kemet-V",132.000000,-106.000000,180.000000,top
"C3","100nF","C_0402_1005Metric",138.576200,-110.818900,0.000000,top
"D1","LED","LED_0402_1005Metric",138.595100,-112.229900,180.000000,top
"L1","1.2uH","L_Bourns-SRN4018",121.000000,-100.500000,180.000000,top
"R1","510k","R_0402_1005Metric",136.000000,-102.000000,0.000000,top
"R2","330k","R_0402_1005Metric",138.500000,-102.000000,0.000000,top
"R3","100","R_0402_1005Metric",136.076200,-110.818900,180.000000,top
"R4","330","R_0402_1005Metric",136.105900,-112.242600,0.000000,top
"U1","MAX8815AETB+","DFN300X300X80-11N",123.000000,-106.500000,0.000000,top
